Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-05-11 10:54:57.327 +0900,"Running",0:00:00,0,0,0,"20170511_105457.327/LogFile.txt","","",0
2017-05-11 10:56:21.178 +0900,"Running",0:00:00,0,0,0,"20170511_105621.178/LogFile.txt","","",0
2017-05-11 10:58:18.015 +0900,"Running",0:00:00,0,0,0,"20170511_105818.015/LogFile.txt","","",0
2017-05-11 10:58:30.743 +0900,"Running",0:00:00,0,0,0,"20170511_105830.743/LogFile.txt","","",0
2017-05-11 10:59:32.599 +0900,"Running",0:00:00,0,0,0,"20170511_105932.599/LogFile.txt","","",0
2017-05-11 11:01:50.388 +0900,"Running",0:00:00,0,0,0,"20170511_110150.388/LogFile.txt","","",0
2017-05-11 11:07:53.017 +0900,"Running",0:00:00,0,0,0,"20170511_110753.017/LogFile.txt","","",0
2017-05-11 11:10:54.464 +0900,"Success",0:01:09,0,0,0,"20170511_111054.464/LogFile.txt","","",1
2017-05-11 11:32:13.259 +0900,"Running",0:00:00,0,0,0,"20170511_113213.259/LogFile.txt","","",0
2017-05-11 11:38:43.876 +0900,"Running",0:00:00,0,0,0,"20170511_113843.876/LogFile.txt","","",0
2017-05-11 11:40:36.951 +0900,"Success",0:01:49,0,0,0,"20170511_114036.951/LogFile.txt","","",1
